utterance_id,user_id,utterance_length,substitutions,deletions,insertions,wer,insertion_rate,deletion_rate,substitution_rate
n000019-fn000036-146.6393-147.5837,n000019,1,0,0,0,0.0,0.0,0.0,0.0
n000019-fn000036-160.2251-161.1962,n000019,1,0,0,0,0.0,0.0,0.0,0.0
n000019-fn000036-171.9267-173.2568,n000019,1,1,0,0,1.0,0.0,0.0,1.0
n000019-fn000036-176.3703-178.5835,n000019,7,3,3,0,0.857143,0.0,0.428571,0.428571
n000019-fn000036-178.5835-180.0055,n000019,3,3,0,2,1.666667,0.666667,0.0,1.0
n000019-fn000036-19.3602-20.2759,n000019,1,0,0,0,0.0,0.0,0.0,0.0
n000019-fn000036-190.8587-193.0046,n000019,3,1,0,1,0.666667,0.333333,0.0,0.333333
n000019-fn000036-195.7698-198.7638,n000019,7,4,0,0,0.571429,0.0,0.0,0.571429
n000019-fn000036-208.3269-209.2399,n000019,1,0,0,0,0.0,0.0,0.0,0.0
n000019-fn000036-222.8724-224.4621,n000019,4,2,0,0,0.5,0.0,0.0,0.5
n000019-fn000036-225.3995-226.0513,n000019,1,0,0,0,0.0,0.0,0.0,0.0
n000019-fn000036-227.8477-230.1666,n000019,5,2,0,0,0.4,0.0,0.0,0.4
n000019-fn000036-230.1666-231.8168,n000019,2,1,0,0,0.5,0.0,0.0,0.5
n000019-fn000036-235.0733-235.9734,n000019,2,2,0,0,1.0,0.0,0.0,1.0
n000019-fn000036-247.3808-248.7328,n000019,3,0,0,1,0.333333,0.333333,0.0,0.0
n000019-fn000036-249.8289-250.7863,n000019,2,0,1,0,0.5,0.0,0.5,0.0
n000019-fn000036-264.9108-266.6317,n000019,6,3,1,0,0.666667,0.0,0.166667,0.5
n000019-fn000036-276.3033-277.9406,n000019,3,2,0,2,1.333333,0.666667,0.0,0.666667
n000019-fn000036-281.2910-283.8092,n000019,6,3,0,1,0.666667,0.166667,0.0,0.5
n000019-fn000036-286.9216-287.7414,n000019,1,0,0,0,0.0,0.0,0.0,0.0
n000019-fn000036-291.4597-294.7379,n000019,6,2,2,0,0.666667,0.0,0.333333,0.333333
n000019-fn000036-296.3605-297.4980,n000019,1,1,0,1,2.0,1.0,0.0,1.0
n000019-fn000036-300.3913-302.1842,n000019,3,2,1,0,1.0,0.0,0.333333,0.666667
n000019-fn000036-310.3743-311.2029,n000019,1,0,0,0,0.0,0.0,0.0,0.0
n000019-fn000036-314.0266-315.4854,n000019,4,1,0,0,0.25,0.0,0.0,0.25
n000019-fn000036-326.3711-328.4338,n000019,1,0,0,0,0.0,0.0,0.0,0.0
n000019-fn000036-333.5574-335.2523,n000019,4,4,0,0,1.0,0.0,0.0,1.0
n000019-fn000036-336.4035-337.8097,n000019,2,1,0,0,0.5,0.0,0.0,0.5
n000019-fn000036-341.2057-343.6663,n000019,6,3,0,2,0.833333,0.333333,0.0,0.5
n000019-fn000036-351.4854-352.9473,n000019,3,2,0,1,1.0,0.333333,0.0,0.666667
n000019-fn000036-356.0527-356.9780,n000019,2,2,0,4,3.0,2.0,0.0,1.0
n000019-fn000036-357.2440-359.8239,n000019,9,9,0,3,1.333333,0.333333,0.0,1.0
n000019-fn000036-359.8239-362.2847,n000019,2,1,0,0,0.5,0.0,0.0,0.5
n000019-fn000036-363.0139-363.9855,n000019,1,0,0,0,0.0,0.0,0.0,0.0
n000019-fn000036-366.3818-367.6746,n000019,3,0,1,0,0.333333,0.0,0.333333,0.0
n000019-fn000036-374.5101-375.6832,n000019,1,1,0,0,1.0,0.0,0.0,1.0
n000019-fn000036-383.2389-384.9091,n000019,5,2,0,0,0.4,0.0,0.0,0.4
n000019-fn000036-389.5254-390.2526,n000019,1,0,0,0,0.0,0.0,0.0,0.0
n000019-fn000036-403.4821-404.7219,n000019,1,0,0,0,0.0,0.0,0.0,0.0
n000019-fn000036-405.2114-407.1677,n000019,5,0,0,0,0.0,0.0,0.0,0.0
n000019-fn000036-407.1677-408.6642,n000019,3,1,0,0,0.333333,0.0,0.0,0.333333
n000019-fn000036-408.6642-411.1503,n000019,5,2,0,0,0.4,0.0,0.0,0.4
n000019-fn000036-412.7108-413.9368,n000019,3,1,2,0,1.0,0.0,0.666667,0.333333
n000019-fn000036-417.0940-419.8993,n000019,7,1,0,0,0.142857,0.0,0.0,0.142857
